Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
UC_01,1032,52,0,3349,"165,47","0,000%","4,29217","1,64","0,00","391,7"
TOTAL,1032,52,0,3349,"165,47","0,000%","4,29217","1,64","0,00","391,7"
